Title,Article Date,Article Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Security for Dataverse and Azure Workloads with Virtual Networks: Part-2.,"Friday, December 27, 2024",https://www.linkedin.com/pulse/advanced-security-dataverse-azure-workloads-virtual-networks-bhide-tsecc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 27, 2024"
Dataverse ExecuteTransaction and ExecuteMultiple $batch Operations through C#.,"Saturday, December 28, 2024",https://www.linkedin.com/pulse/dataverse-executetransaction-executemultiple-batch-operations-bhide-pr4tc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 28, 2024"
anatomy of a field service workorder.,"Tuesday, December 31, 2024",https://www.linkedin.com/pulse/anatomy-field-service-workorder-shashank-bhide-ulb4c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 31, 2024"
Generate tons of dummy data in seconds with Python in Excel.,"Wednesday, January 01, 2025",https://www.linkedin.com/pulse/generate-tons-dummy-data-seconds-python-excel-shashank-bhide-lyzzc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 1, 2025"
Data retention in Dataverse,"Thursday, January 02, 2025",https://www.linkedin.com/pulse/data-retention-dataverse-shashank-bhide-osqcc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 2, 2025"
Three steps to bulk edit Dataverse data in Excel with power platform Excel Add-In.,"Saturday, January 04, 2025",https://www.linkedin.com/pulse/three-steps-bulk-edit-dataverse-data-excel-power-platform-bhide-7sasc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 4, 2025"
Create polymorphic lookups with this PowerShell Script.,"Tuesday, January 07, 2025",https://www.linkedin.com/pulse/create-multi-table-lookups-powershell-script-shashank-bhide-ebegc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 7, 2025"
Effortless master data sync with Dataflows.,"Thursday, January 09, 2025",https://www.linkedin.com/pulse/effortless-master-data-sync-dataflows-shashank-bhide-e86pc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 9, 2025"
Configuring tax on popcorn in field service,"Saturday, January 11, 2025",https://www.linkedin.com/pulse/handling-indias-new-popcorn-tax-field-service-shashank-bhide-yph7c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 11, 2025"
"Modify Power Automate, PCF response via Chrome without server changes.","Wednesday, January 15, 2025",https://www.linkedin.com/pulse/modify-power-automate-pcf-response-via-chrome-without-shashank-bhide-0alyc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 15, 2025"
Create your personal field service co(pilot)ach,"Sunday, January 19, 2025",https://www.linkedin.com/pulse/create-your-personal-field-service-copilotach-shashank-bhide-sje9c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 19, 2025"
"Dataverse for teams, what all is possible","Tuesday, January 21, 2025",https://www.linkedin.com/pulse/dataverse-teams-what-all-possible-shashank-bhide-ecjfc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 21, 2025"
Export and Import Dataverse solutions in a target org using Power automate.,"Thursday, January 23, 2025",https://www.linkedin.com/pulse/export-import-dataverse-solutions-target-org-using-power-bhide-cov0c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 23, 2025"
How to setup a 90hour/week system in field service. Part-1,"Sunday, January 26, 2025",https://www.linkedin.com/pulse/how-setup-90hourweek-system-field-service-part-1-shashank-bhide-0gboc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 26, 2025"
How to setup a 90hour/week system in Field Service. Part-2,"Monday, January 27, 2025",https://www.linkedin.com/pulse/how-setup-90hourweek-system-field-service-part-2-shashank-bhide-yvzzc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 27, 2025"
Use GitHub Copilot in VS code to generate technical design document for ADO Wiki.,"Friday, January 31, 2025",https://www.linkedin.com/pulse/use-github-copilot-vs-code-generate-technical-design-document-bhide-iozpc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 31, 2025"
Unlimited Dataverse record versioning/auditing using Azure blob storage - Part 1.,"Sunday, February 02, 2025",https://www.linkedin.com/pulse/unlimited-dataverse-record-versioning-using-azure-blob-shashank-bhide-rjosc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 2, 2025"
Unlimited Dataverse record versioning/auditing using Azure blob storage - Part 2.,"Monday, February 03, 2025",https://www.linkedin.com/pulse/unlimited-dataverse-record-versioning-using-azure-blob-shashank-bhide-sfwnc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 3, 2025"
Run PowerFx from command line,"Wednesday, February 05, 2025",https://www.linkedin.com/pulse/run-powerfx-from-command-line-shashank-bhide-noykc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 5, 2025"
Opening React PCF control from command bar as a modal popup.,"Monday, February 10, 2025",https://www.linkedin.com/pulse/opening-react-pcf-control-from-command-bar-modal-popup-shashank-bhide-cj54c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 10, 2025"
Generate PDF documents from Dataverse email templates no extra license required.,"Wednesday, February 12, 2025",https://www.linkedin.com/pulse/generate-pdf-documents-from-dataverse-email-templates-shashank-bhide-pbv1c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 12, 2025"
Creating an artificial employee using autogen,"Thursday, February 20, 2025",https://www.linkedin.com/pulse/creating-artificial-employee-using-autogen-shashank-bhide-kwiec/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 20, 2025"
Building a Dataverse backed artificial contact center with autogen AI agents.,"Monday, February 24, 2025",https://www.linkedin.com/pulse/building-dataverse-backed-artificial-contact-center-autogen-bhide-mtcoc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 24, 2025"
Hassle free signup-signin experience for Power Pages,"Sunday, March 09, 2025",https://www.linkedin.com/pulse/hassle-free-signup-signin-experience-power-pages-shashank-bhide-rnawc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 9, 2025"
Importing connection roles from CSV,"Saturday, March 22, 2025",https://www.linkedin.com/pulse/importing-connection-roles-from-csv-shashank-bhide-vph7c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 22, 2025"
Experimenting with Azure AI search and Azure DevOps for contextual search across ADO work items - Part 1,"Thursday, March 27, 2025",https://www.linkedin.com/pulse/experimenting-azure-ai-search-devops-contextual-across-shashank-bhide-vuvoc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 27, 2025"
Building my first artificial Azure DevOps agent,"Monday, March 31, 2025",https://www.linkedin.com/pulse/building-my-first-artificial-azure-devops-agent-shashank-bhide-qexrc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 31, 2025"
Using shared mailbox in power automate with connection sharing- step by step guide.,"Sunday, April 13, 2025",https://www.linkedin.com/pulse/using-shared-mailbox-power-automate-connection-sharing-bhide-escrc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 13, 2025"
Sending email from a shared mailbox using service principal.,"Monday, April 28, 2025",https://www.linkedin.com/pulse/sending-email-from-shared-mailbox-using-service-principal-bhide-5vixc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 28, 2025"
Customer Insights journey - NO CODE email upon case creation.,"Friday, May 02, 2025",https://www.linkedin.com/pulse/customer-insights-journey-code-email-upon-case-creation-bhide-l8enc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 2, 2025"
Customer Insights Journeys- NO CODE Dynamic email selection.,"Sunday, May 04, 2025",https://www.linkedin.com/pulse/customer-insights-journeys-code-dynamic-email-selection-bhide-byrbc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 4, 2025"
Using customer insights journey forms as quick online data entry tool.,"Thursday, May 15, 2025",https://www.linkedin.com/pulse/using-customer-insights-journey-forms-quick-online-data-bhide-ps7sc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2025"
Not many are using this hidden power automate trigger.,"Saturday, May 17, 2025",https://www.linkedin.com/pulse/many-know-use-hidden-power-automate-trigger-shashank-bhide-q1evc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 17, 2025"
Zero credentials management with LogicApps managed identity to call Dataverse WebApi,"Saturday, May 24, 2025",https://www.linkedin.com/pulse/zero-credentials-management-logicapps-managed-identity-shashank-bhide-fynhc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 24, 2025"
How I Built a Producer-Consumer Workflow using Logic Apps Batching for Dataverse Records.,"Sunday, May 25, 2025",https://www.linkedin.com/pulse/how-i-built-producer-consumer-workflow-using-logic-apps-bhide-iyyyc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 25, 2025"
I made an online secure file server using these two power automates.,"Friday, May 30, 2025",https://www.linkedin.com/pulse/i-made-online-secure-file-server-using-two-power-automates-bhide-24q4c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 30, 2025"
Why use any XrmToolbox plugin when Excel can do this OOB and 100x efficiently.,"Sunday, June 01, 2025",https://www.linkedin.com/pulse/why-use-any-xrmtoolbox-plugin-when-excel-can-do-oob-100x-bhide-m068c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 1, 2025"
A python experiment to generate a document from a video.,"Sunday, June 15, 2025",https://www.linkedin.com/pulse/python-experiment-generate-document-from-video-shashank-bhide-xkrec/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 15, 2025"
Building a copilot using agent flows and AI prompts to assign security roles in Dataverse.,"Saturday, June 21, 2025",https://www.linkedin.com/pulse/building-copilot-using-agent-flows-ai-prompts-assign-security-bhide-24npc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 21, 2025"
This copilot converts natural language query into an Excel document.,"Thursday, July 03, 2025",https://www.linkedin.com/pulse/copilot-converts-natural-language-query-excel-document-shashank-bhide-gjhsc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 3, 2025"
Power Automate Vs. C# The Ultimate Showdown,"Saturday, July 05, 2025",https://www.linkedin.com/pulse/power-automate-vs-c-ultimate-showdown-shashank-bhide-vlrrc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 5, 2025"
Email content moderator copilot with a tool call to update email Obnoxity rating.,"Friday, July 11, 2025",https://www.linkedin.com/pulse/email-content-moderator-copilot-tool-call-update-obnoxity-bhide-amjec/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 11, 2025"
"Building a video summarizer AI bot using python, Azure AI foundry, FFMPEG with image compression and audio summary","Monday, July 21, 2025",https://www.linkedin.com/pulse/building-video-summarizer-ai-bot-using-python-azure-foundry-bhide-gpvic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 21, 2025"
"Recreating Microsoft's ""Populate a word template"" in a better way.","Sunday, July 27, 2025",https://www.linkedin.com/pulse/recreating-microsofts-populate-word-template-better-way-bhide-9bojc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 27, 2025"
Using Azure application insights as your central error logging repository.,"Saturday, August 02, 2025",https://www.linkedin.com/pulse/using-azure-application-insights-your-central-error-logging-bhide-w6pnc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 2, 2025"
Dataverse Exchange Integration Step By Step,"Friday, August 08, 2025",https://www.linkedin.com/pulse/dataverse-exchange-integration-step-shashank-bhide-s8xnc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 8, 2025"
"Dataverse prompt columns, what worked, what didn't (for me)","Monday, August 11, 2025",https://www.linkedin.com/pulse/dataverse-prompt-columns-what-worked-didnt-me-shashank-bhide-ugh7c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 11, 2025"
Enable-Disable Power automate flows using PowerShell,"Friday, August 15, 2025",https://www.linkedin.com/pulse/enable-disable-power-automate-flows-using-powershell-shashank-bhide-g6zwc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2025"
Using Excel's Get data feature to get Dataverse data with complex joins,"Saturday, August 23, 2025",https://www.linkedin.com/pulse/using-excels-get-data-feature-dataverse-complex-joins-shashank-bhide-0hjyc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 23, 2025"
JSON to PDF using Python function app and AI Builder,"Wednesday, August 27, 2025",https://www.linkedin.com/pulse/json-pdf-using-python-function-app-ai-builder-shashank-bhide-r3a8c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 27, 2025"
Self hosting an LLM inside Azure container instance.,"Sunday, August 31, 2025",https://www.linkedin.com/pulse/self-hosting-llm-inside-azure-container-instance-shashank-bhide-9masc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 31, 2025"
Adding Dataverse users to Dataverse teams using Copilot,"Saturday, September 20, 2025",https://www.linkedin.com/pulse/adding-dataverse-users-teams-using-copilot-shashank-bhide-uclyc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"September 20, 2025"
Integrating Power Pages with Entra External ID,"Sunday, September 28, 2025",https://www.linkedin.com/pulse/integrating-power-pages-entra-external-id-shashank-bhide-lv0kc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"September 28, 2025"
Integrating Copilot studio with custom MCP server - Part 1,"Monday, October 06, 2025",https://www.linkedin.com/pulse/integrating-copilot-studio-custom-mcp-server-part-1-shashank-bhide-c9kzc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 6, 2025"
Integrating Copilot studio with custom MCP server - Part 2,"Friday, October 10, 2025",https://www.linkedin.com/pulse/integrating-copilot-studio-custom-mcp-server-part-2-shashank-bhide-7worc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 10, 2025"
Document power automate using Copilot.,"Saturday, October 18, 2025",https://www.linkedin.com/pulse/document-power-automate-using-copilot-shashank-bhide-d04cc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 18, 2025"
Arbitrary Python code generation and execution using AI Foundry prompt flows.,"Friday, October 24, 2025",https://www.linkedin.com/pulse/arbitrary-python-code-generation-execution-using-ai-foundry-bhide-sxpcc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 24, 2025"
Generating PDF markup using CoPilot studio.,"Friday, November 28, 2025",https://www.linkedin.com/pulse/generating-pdf-markup-using-copilot-studio-shashank-bhide-6utac/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"November 28, 2025"
Analyzing loan applications with Azure Document Intelligence and Copilot Agent.,"Friday, December 19, 2025",https://www.linkedin.com/pulse/analyzing-loan-applications-azure-document-shashank-bhide-yjrrc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 19, 2025"
Building a Bot‑vs‑Bot Multi‑Agent Game in Copilot Studio: What Worked (and What Didn’t),"Tuesday, December 30, 2025",https://www.linkedin.com/pulse/building-botvsbot-multiagent-game-copilot-studio-what-shashank-bhide-x3vqc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 30, 2025"
Analyzing loan applications with Azure Document Intelligence and Copilot Agent.,"Friday, December 19, 2025",https://www.linkedin.com/pulse/analyzing-loan-applications-azure-document-shashank-bhide-yjrrc/?trackingId=EsxVmrfDzdhHT1%2BuqOk64w%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 19, 2025"
Building an Agentic Service Bus Plugin With Logic App agent loop.,"Friday, January 16, 2026",https://www.linkedin.com/pulse/building-agentic-service-bus-plugin-logic-app-agent-loop-bhide-ueszc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
